id,ip,mask,mac_add,network,system_name,snmp_host,vlan,port_name,desc,user,available,created_at,updated_at,ip_group_id
20,192.168.1.20,255.255.255.0,aa83-5763-0625,192.168.1.0/24,SW11,10.10.10.11,101,GigabitEthernet1/0/20,ligoudan20,ligoudan20,,,,1
21,172.16.1.1,255.255.255.0,aa83-5763-0626,172.16.1.0/24,SW12,10.10.10.12,102,GigabitEthernet1/0/1,ligoudan21,ligoudan21,,,,3
22,172.16.1.2,255.255.255.0,aa83-5763-0627,172.16.1.0/24,SW12,10.10.10.12,102,GigabitEthernet1/0/2,ligoudan22,ligoudan22,,,,3
23,172.16.1.3,255.255.255.0,aa83-5763-0628,172.16.1.0/24,SW12,10.10.10.12,102,GigabitEthernet1/0/3,ligoudan23,ligoudan23,,,,3
24,172.16.1.4,255.255.255.0,aa83-5763-0629,172.16.1.0/24,SW12,10.10.10.12,102,GigabitEthernet1/0/4,ligoudan24,ligoudan24,,,,3
25,172.16.1.5,255.255.255.0,aa83-5763-0630,172.16.1.0/24,SW12,10.10.10.12,102,GigabitEthernet1/0/5,ligoudan25,ligoudan25,,,,3
26,172.16.1.6,255.255.255.0,aa83-5763-0631,172.16.1.0/24,SW12,10.10.10.12,102,GigabitEthernet1/0/6,ligoudan26,ligoudan26,,,,3
27,172.16.1.7,255.255.255.0,aa83-5763-0632,172.16.1.0/24,SW12,10.10.10.12,102,GigabitEthernet1/0/7,ligoudan27,ligoudan27,,,,3
28,172.16.1.8,255.255.255.0,aa83-5763-0633,172.16.1.0/24,SW12,10.10.10.12,102,GigabitEthernet1/0/8,ligoudan28,ligoudan28,,,,3
29,172.16.1.9,255.255.255.0,aa83-5763-0634,172.16.1.0/24,SW12,10.10.10.12,102,GigabitEthernet1/0/9,ligoudan29,ligoudan29,,,,3
30,172.16.1.10,255.255.255.0,aa83-5763-0635,172.16.1.0/24,SW12,10.10.10.12,102,GigabitEthernet1/0/10,ligoudan30,ligoudan30,,,,3
31,172.16.1.11,255.255.255.0,aa83-5763-0636,172.16.1.0/24,SW12,10.10.10.12,102,GigabitEthernet1/0/11,ligoudan31,ligoudan31,,,,3
32,172.16.1.12,255.255.255.0,aa83-5763-0637,172.16.1.0/24,SW12,10.10.10.12,102,GigabitEthernet1/0/12,ligoudan32,ligoudan32,,,,3
33,172.16.1.13,255.255.255.0,aa83-5763-0638,172.16.1.0/24,SW12,10.10.10.12,102,GigabitEthernet1/0/13,ligoudan33,ligoudan33,,,,3
34,172.16.1.14,255.255.255.0,aa83-5763-0639,172.16.1.0/24,SW12,10.10.10.12,102,GigabitEthernet1/0/14,ligoudan34,ligoudan34,,,,3
35,172.16.1.15,255.255.255.0,aa83-5763-0640,172.16.1.0/24,SW12,10.10.10.12,102,GigabitEthernet1/0/15,ligoudan35,ligoudan35,,,,3
36,172.16.1.16,255.255.255.0,aa83-5763-0641,172.16.1.0/24,SW12,10.10.10.12,102,GigabitEthernet1/0/16,ligoudan36,ligoudan36,,,,3
37,172.16.1.17,255.255.255.0,aa83-5763-0642,172.16.1.0/24,SW12,10.10.10.12,102,GigabitEthernet1/0/17,ligoudan37,ligoudan37,,,,3
38,172.16.1.18,255.255.255.0,aa83-5763-0643,172.16.1.0/24,SW12,10.10.10.12,102,GigabitEthernet1/0/18,ligoudan38,ligoudan38,,,,3
39,172.16.1.19,255.255.255.0,aa83-5763-0644,172.16.1.0/24,SW12,10.10.10.12,102,GigabitEthernet1/0/19,ligoudan39,ligoudan39,,,,3
40,172.16.1.20,255.255.255.0,aa83-5763-0645,172.16.1.0/24,SW12,10.10.10.12,102,GigabitEthernet1/0/20,ligoudan40,ligoudan40,,,,3
